2024-12-03 14:38:54 [JavaFX Application Thread] INFO : Маршрут найден: Путь: Улица Дыбенко -> Проспект Большевиков -> Ладожская -> Новочеркасская -> Площадь Александра Невского 2 -> Площадь Александра Невского 1 -> Маяковская -> Гостиный двор -> Василеостровская -> Приморская -> Зенит -> Беговая
Время в пути: 24,8 минут.
2024-12-03 20:17:14 [JavaFX Application Thread] INFO : Координаты станции инициализированы.
2024-12-03 20:22:58 [JavaFX Application Thread] INFO : Инициализация данных о метро.
2024-12-03 20:22:58 [JavaFX Application Thread] INFO : MetroDataInitializer, созданный с помощью StationCount: 72
2024-12-03 20:22:58 [JavaFX Application Thread] DEBUG: Данные Metro успешно загружены.
2024-12-03 20:22:58 [JavaFX Application Thread] INFO : Инициализация названий станций...
2024-12-03 20:22:58 [JavaFX Application Thread] INFO : Названия станций инициализированы.
2024-12-03 20:22:58 [JavaFX Application Thread] DEBUG: Получение матрицы смежности.
2024-12-03 20:22:58 [JavaFX Application Thread] DEBUG: Загрузка изображения карты метро...
2024-12-03 20:22:58 [JavaFX Application Thread] INFO : Инициализация координат станции...
2024-12-03 20:22:58 [JavaFX Application Thread] INFO : Координаты станции инициализированы.
2024-12-03 20:22:58 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 20:22:58 [JavaFX Application Thread] INFO : Инициализация координат станции...
2024-12-03 20:22:58 [JavaFX Application Thread] INFO : Координаты станции инициализированы.
2024-12-03 20:22:58 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 20:22:58 [JavaFX Application Thread] INFO : Инициализация координат станции...
2024-12-03 20:22:58 [JavaFX Application Thread] INFO : Координаты станции инициализированы.
2024-12-03 20:23:11 [JavaFX Application Thread] INFO : Инициализация данных о метро.
2024-12-03 20:23:11 [JavaFX Application Thread] INFO : MetroDataInitializer, созданный с помощью StationCount: 72
2024-12-03 20:23:11 [JavaFX Application Thread] DEBUG: Данные Metro успешно загружены.
2024-12-03 20:23:11 [JavaFX Application Thread] INFO : Инициализация названий станций...
2024-12-03 20:23:11 [JavaFX Application Thread] INFO : Названия станций инициализированы.
2024-12-03 20:23:11 [JavaFX Application Thread] DEBUG: Получение матрицы смежности.
2024-12-03 20:23:11 [JavaFX Application Thread] DEBUG: Загрузка изображения карты метро...
2024-12-03 20:23:11 [JavaFX Application Thread] INFO : Инициализация координат станции...
2024-12-03 20:23:11 [JavaFX Application Thread] INFO : Координаты станции инициализированы.
2024-12-03 20:23:12 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 20:23:12 [JavaFX Application Thread] INFO : Инициализация координат станции...
2024-12-03 20:23:12 [JavaFX Application Thread] INFO : Координаты станции инициализированы.
2024-12-03 20:23:12 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 20:23:12 [JavaFX Application Thread] INFO : Инициализация координат станции...
2024-12-03 20:23:12 [JavaFX Application Thread] INFO : Координаты станции инициализированы.
2024-12-03 20:23:14 [JavaFX Application Thread] DEBUG: Станция Улица Дыбенко была выбрана.
2024-12-03 20:23:17 [JavaFX Application Thread] DEBUG: Станция Беговая была выбрана.
2024-12-03 20:23:19 [JavaFX Application Thread] INFO : Начинаем поиск кратчайшего пути от станции 0 до станции 71
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обрабатываем станцию: 0
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обновлено расстояние до станции 1: 3.0
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обрабатываем станцию: 1
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обновлено расстояние до станции 2: 6.0
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обрабатываем станцию: 2
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обновлено расстояние до станции 3: 9.0
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обрабатываем станцию: 3
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обновлено расстояние до станции 4: 12.0
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обрабатываем станцию: 4
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обновлено расстояние до станции 5: 12.2
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обновлено расстояние до станции 6: 14.0
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обрабатываем станцию: 5
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обновлено расстояние до станции 30: 15.2
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обновлено расстояние до станции 63: 14.399999999999999
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обрабатываем станцию: 6
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обновлено расстояние до станции 7: 16.0
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обрабатываем станцию: 63
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обновлено расстояние до станции 64: 15.799999999999999
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обрабатываем станцию: 30
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обновлено расстояние до станции 29: 15.399999999999999
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обновлено расстояние до станции 41: 18.2
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обрабатываем станцию: 29
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обновлено расстояние до станции 8: 17.299999999999997
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обновлено расстояние до станции 31: 16.599999999999998
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обрабатываем станцию: 64
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обновлено расстояние до станции 65: 17.7
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обрабатываем станцию: 7
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обновлено расстояние до станции 8: 16.2
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обновлено расстояние до станции 9: 20.0
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обрабатываем станцию: 31
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обновлено расстояние до станции 32: 18.099999999999998
2024-12-03 20:23:19 [JavaFX Application Thread] DEBUG: Обрабатываем станцию: 8
